guid,title,pubDate,description,link,media
https://www.hindustantimes.com/lifestyle/battle-of-privacy-v-s-faith/story-9h8yXWjaqC2NvdmyCaFBvM.html,Battle of privacy v/s faith,"Tue, 01 Sep 2020 11:47:28 GMT ","In a world dependent on social media, is sharing passwords with your partner, a symbol of trust or is it healthier to keep some privacy.",https://www.hindustantimes.com/lifestyle/battle-of-privacy-v-s-faith/story-9h8yXWjaqC2NvdmyCaFBvM.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/09/01/Pictures/_768875a6-ec48-11ea-8bd0-e81a49b765f6.jpg
https://www.hindustantimes.com/health/national-nutrition-week-different-diets-and-how-they-facilitate-your-nutritional-intake/story-ovfac2vi4TjyN6ffQnsnfP.html,National Nutrition Week 2020: Different diets and how they facilitate your nutritional...,"Tue, 01 Sep 2020 10:38:26 GMT ",National Nutrition Week: Different bodies have different nutritional requirements and experts encourage people to follow only those diets that satisfy their body’s nutritional needs.,https://www.hindustantimes.com/health/national-nutrition-week-different-diets-and-how-they-facilitate-your-nutritional-intake/story-ovfac2vi4TjyN6ffQnsnfP.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/09/01/Pictures/_05b39732-ec3b-11ea-8bd0-e81a49b765f6.jpg
https://www.hindustantimes.com/fitness/bollywood-dads-celebrity-fathers-over-40-who-are-setting-lockdown-fitness-goals/story-uRtsVsOhwQCVUgaPoqlWFI.html,Bollywood Dads: Celebrity fathers over 40 who are setting lockdown fitness goals,"Tue, 01 Sep 2020 03:02:52 GMT ","For workout motivation, we can look to some of the most recognisable faces in Bollywood, who despite being 40 or above have not let themselves slack for even a moment.",https://www.hindustantimes.com/fitness/bollywood-dads-celebrity-fathers-over-40-who-are-setting-lockdown-fitness-goals/story-uRtsVsOhwQCVUgaPoqlWFI.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/08/31/Pictures/_37313588-eba7-11ea-83c1-09a59be16170.jpg
https://www.hindustantimes.com/more-lifestyle/horoscope-today-astrological-prediction-for-september-1-what-s-in-store-for-aries-virgo-libra-scorpio-and-other-zodiac-signs/story-seA6lClRtrxU7OLqm8qkyO.html,"Horoscope Today: Astrological prediction for September 1, what's in store for Aries,...","Tue, 01 Sep 2020 12:57:02 GMT ","Daily horoscope: Are the stars lined up in your favour? Find out the astrological prediction for Aries, Leo, Virgo, Libra and other zodiac signs for September 1. ",https://www.hindustantimes.com/more-lifestyle/horoscope-today-astrological-prediction-for-september-1-what-s-in-store-for-aries-virgo-libra-scorpio-and-other-zodiac-signs/story-seA6lClRtrxU7OLqm8qkyO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/07/03/Pictures/_4c6be882-bc98-11ea-8289-eb9e57c07d2f.png
https://www.hindustantimes.com/health/obese-people-might-be-at-a-higher-risk-of-covid-19-complications-studies-find/story-eXWbyzmSgmRUMm1hCJDuSO.html,"Obese people might be at a higher risk of COVID-19 complications, studies find","Mon, 31 Aug 2020 07:20:42 GMT ",A new study led by the University of North Carolina at Chapel Hill raises concerns about the impact of obesity on the effectiveness of a future COVID-19 vaccine.,https://www.hindustantimes.com/health/obese-people-might-be-at-a-higher-risk-of-covid-19-complications-studies-find/story-eXWbyzmSgmRUMm1hCJDuSO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/09/01/Pictures/_a9307552-ebbd-11ea-83c1-09a59be16170.jpg
https://www.hindustantimes.com/more-lifestyle/parental-instruction-instrumental-in-teaching-children-how-to-safely-cross-busy-roads-studies-show/story-s6qiukznQKButCRTzg26oJ.html,Parental instruction instrumental in teaching children how to safely cross busy...,"Mon, 31 Aug 2020 06:37:25 GMT ",A new study from the University of Iowa reports that parents who use road crossings as teachable moments help their youngsters learn road-crossing skills faster. ,https://www.hindustantimes.com/more-lifestyle/parental-instruction-instrumental-in-teaching-children-how-to-safely-cross-busy-roads-studies-show/story-s6qiukznQKButCRTzg26oJ.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/08/31/Pictures/_7603f1f2-ebab-11ea-83c1-09a59be16170.jpg
https://www.hindustantimes.com/travel/summer-travel-from-road-trips-to-beaches-here-s-how-to-make-the-most-of-your-vacation-days/story-qnjxnbn23mFdUN3RF9lKcO.html,"Summer Travel: From road trips to beaches, here's how to make the most of your vacation...","Mon, 31 Aug 2020 11:44:50 GMT ","As the world begins to open back up again, this is the perfect time to use those remaining vacation days and enjoy the last of the summer.",https://www.hindustantimes.com/travel/summer-travel-from-road-trips-to-beaches-here-s-how-to-make-the-most-of-your-vacation-days/story-qnjxnbn23mFdUN3RF9lKcO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/08/31/Pictures/_6a1a3716-eb74-11ea-83c1-09a59be16170.jpg
https://www.hindustantimes.com/india-news/ht-exclusive-myanmar-flushes-out-northeast-insurgents-hands-over-22-to-india/story-x3CcZ88zxPj54l6XtqTj6L.html,"HT Exclusive: Nudged by Ajit Doval, Myanmar army hands over 22 northeast insurg...","Sat, 16 May 2020 08:16:36 GMT ",The handling over anti-India insurgents by Myanmar military is a culmination of months of work by NSA Ajit Doval and security agencies,https://www.hindustantimes.com/india-news/ht-exclusive-myanmar-flushes-out-northeast-insurgents-hands-over-22-to-india/story-x3CcZ88zxPj54l6XtqTj6L.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/_b4487a46-96b0-11ea-b40c-d7c2b81d84c3.jpg
https://www.hindustantimes.com/india-news/govt-to-create-rs-1-lakh-crore-agri-infrastructure-fund-for-marginalized-farmers-fm/story-NHzXbkxLRQjFzmO1nl3vOI.html,Govt to create Rs 1 lakh crore Agri-Infrastructure Fund for marginalised farmers:...,"Fri, 15 May 2020 07:33:47 GMT ","The lack of adequate cold chain and post-harvest management in the vicinity of farm-gate is causing gaps in value chains. The government’s focus has been on short-term crop loans while investment in long-term agriculture infrastructure has often not been enough, the minister indicated.",https://www.hindustantimes.com/india-news/govt-to-create-rs-1-lakh-crore-agri-infrastructure-fund-for-marginalized-farmers-fm/story-NHzXbkxLRQjFzmO1nl3vOI.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/16/Pictures/_cdbbcb4a-96e2-11ea-b40c-d7c2b81d84c3.jpg
https://www.hindustantimes.com/india-news/rahul-gandhi-shreds-niti-aayog-over-no-covid-19-cases-after-may-16-prediction/story-nIznL58C2I4kaSoVqqIuYI.html,Rahul Gandhi jabs NITI Aayog over Covid-19 'prediction'; gets a prompt rebuttal,"Fri, 15 May 2020 05:49:53 GMT ",NITI Aayog chief executive officer Amitabh Kant later tweeted his rebuttal to Rahul Gandhi.,https://www.hindustantimes.com/india-news/rahul-gandhi-shreds-niti-aayog-over-no-covid-19-cases-after-may-16-prediction/story-nIznL58C2I4kaSoVqqIuYI.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/_7274820e-96a6-11ea-a091-8eb61e4add3b.jpg
https://www.hindustantimes.com/india-news/delhi-s-covid-19-death-toll-rises-to123-city-reports-425-fresh-cases-taking-tally-to-8-895/story-7KhV4ewplevU1Tp0n92ZaM.html,"Delhi's Covid-19 death toll rises to123, city reports 425 fresh cases taking tally...","Fri, 15 May 2020 01:32:22 GMT ","In a health bulletin issued on Friday, the Delhi health department said, the death toll from the coronavirus infection in the national capital has risen to 123. The national capital, however, did not report any deaths due to coronavirus in the last twenty-four hours, the data revealed.",https://www.hindustantimes.com/india-news/delhi-s-covid-19-death-toll-rises-to123-city-reports-425-fresh-cases-taking-tally-to-8-895/story-7KhV4ewplevU1Tp0n92ZaM.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/delhi-lockdown-covid-19-day-13_f4f5e48a-9696-11ea-b40c-d7c2b81d84c3.jpg
https://www.hindustantimes.com/cricket/virat-kohli-rohit-sharma-could-remain-stranded-in-mumbai-when-india-return-to-training-says-bcci-official/story-TgEC9jqodMzKl4T77n3fPP.html,"Virat Kohli, Rohit Sharma could remain stranded in Mumbai when India return to training,...","Fri, 15 May 2020 12:16:17 GMT ","Speaking in an interview to news agency AFP, BCCI treasurer Arun Dhumal said: “For players like Kohli and Rohit, the restrictions are there in Mumbai and might stay.”",https://www.hindustantimes.com/cricket/virat-kohli-rohit-sharma-could-remain-stranded-in-mumbai-when-india-return-to-training-says-bcci-official/story-TgEC9jqodMzKl4T77n3fPP.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/icc-cricket-awards-2020_f4b7dfc0-9699-11ea-b40c-d7c2b81d84c3.jpg
https://www.hindustantimes.com/videos/coronavirus-crisis/my-child-has-been-crying-please-let-me-go-home-migrant-worker-breaks-down/video-j0AgIuZHgANlnZBspLoUcO.html,"'My child has been crying, please let me go home': Migrant worker breaks down","Fri, 15 May 2020 09:38:36 GMT ",,https://www.hindustantimes.com/videos/coronavirus-crisis/my-child-has-been-crying-please-let-me-go-home-migrant-worker-breaks-down/video-j0AgIuZHgANlnZBspLoUcO.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/_13b54602-968f-11ea-a091-8eb61e4add3b.png
https://www.hindustantimes.com/cricket/england-spinner-picks-babar-azam-over-virat-kohli-gives-reason-for-his-choice/story-Gx3b44gcFAwJ2WBse0iLBP.html,"England spinner picks Babar Azam over Virat Kohli, gives reason for his choice","Fri, 15 May 2020 08:18:38 GMT ",Rashid went ahead and picked the Pakistani middle order batsman over Kohli but clarified that his choice was based on current form.,https://www.hindustantimes.com/cricket/england-spinner-picks-babar-azam-over-virat-kohli-gives-reason-for-his-choice/story-Gx3b44gcFAwJ2WBse0iLBP.html,https://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2020/05/15/Pictures/india-v-pakistan-icc-champions-trophy-final_76d8daac-9683-11ea-a091-8eb61e4add3b.jpg
